,sample,mkate2,avgfp,od,mkate2_od,avgfp_od,mkate2_norm,avgfp_norm,avgfp_mkate,avgfp_mkate2_wtnorm,mkate2_wtnorm,avgfp_wtnorm,experiment,n_mutations,observed,seq_id_legacy
0,0,22454,16607.0,0.4842,46373.39942,34297.81082,46285.59942,33298.81082,0.719420538,0.7511762060045379,1.3208993859046767,0.9922474923877704,metl_designs,5.0,True,exp_0
1,0,22700,16814.0,0.5049,44959.3979,33301.64389,44871.5979,32302.64389,0.719890652,0.7516670711275872,1.2805465815153871,0.9625634251808285,metl_designs,5.0,True,exp_0
2,0,21701,16118.0,0.4852,44725.88623,33219.29101,44638.08623,32220.29101,0.721811658,0.7536728715218929,1.2738826206858922,0.9601094504994916,metl_designs,5.0,True,exp_0
3,1,15056,12658.0,0.3336,45131.89448,37943.64508,45044.09448,36944.64508,0.820188429,0.8563920541076383,1.2854692924545956,1.1008871048262312,metl_designs,5.0,True,exp_1
4,1,14520,12381.0,0.3343,43434.04128,37035.59677,43346.24128,36036.59677,0.831366128,0.8680631436626056,1.2370159229975886,1.07382882147086,metl_designs,5.0,True,exp_1
5,1,14647,12248.0,0.3333,43945.39454,36747.67477,43857.59454,35748.67477,0.815107968,0.8510873384133332,1.25160893282307,1.0652492393336002,metl_designs,5.0,True,exp_1
6,2,22044,15243.0,0.4469,49326.47125,34108.30163,49238.67125,33109.30163,0.672424759,0.7021060042202127,1.405174210378353,0.9866004433211114,metl_designs,5.0,True,exp_2
7,2,21894,15471.0,0.4411,49635.0034,35073.67944,49547.2034,34074.67944,0.687721548,0.7180780029582748,1.4139791072053078,1.0153670475208014,metl_designs,5.0,True,exp_2
8,2,21816,15346.0,0.424,51452.83019,36193.39623,51365.03019,35194.39623,0.685182041,0.7154264005468604,1.465856285435272,1.0487326888065458,metl_designs,5.0,True,exp_2
9,3,7893,6639.0,0.2027,38939.31919,32752.8367,38851.51919,31753.8367,0.817312614,0.8533892988528656,1.1087454517734916,0.9462099115065562,metl_designs,5.0,True,exp_3
10,3,9676,8176.0,0.2476,39079.15994,33021.00162,38991.35994,32022.00162,0.821258906,0.8575097826252458,1.1127362299661498,0.9542007665210106,metl_designs,5.0,True,exp_3
11,4,10193,8164.0,0.2657,38362.81521,30726.38314,38275.01521,29727.38314,0.776678546,0.8109616179311814,1.0922931693639317,0.8858250685096234,metl_designs,5.0,True,exp_4
12,4,11117,8682.0,0.2826,39338.28733,30721.86837,39250.48733,29722.86837,0.757261129,0.7906871041217521,1.120131212738571,0.8856905361013814,metl_designs,5.0,True,exp_4
13,4,13734,11058.0,0.3559,38589.49143,31070.52543,38501.69143,30071.52543,0.781044269,0.8155200466476087,1.0987620599810817,0.8960799189342513,metl_designs,5.0,True,exp_4
14,5,6103,683.0,0.3409,17902.61074,2003.520094,17814.81074,1004.520094,0.056386796,0.058875744089518685,0.5083994344103936,0.029932977177850685,metl_designs,5.0,False,exp_5
15,5,6524,911.0,0.3531,18476.35231,2580.005664,18388.55231,1581.005664,0.085977713,0.08977282248826629,0.5247728831066961,0.04711125913879894,metl_designs,5.0,False,exp_5
16,5,6914,633.0,0.3824,18080.54393,1655.334728,17992.74393,656.334728,0.036477745,0.03808789525091512,0.5134772954373268,0.01955765001775548,metl_designs,5.0,False,exp_5
17,6,11786,5147.0,0.3287,35856.40402,15658.65531,35768.60402,14659.65531,0.409847007,0.42793790766170103,1.020765155398857,0.436832603399756,metl_designs,5.0,False,exp_6
18,6,11113,5040.0,0.306,36316.99346,16470.58824,36229.19346,15471.58824,0.427047548,0.44589769119182526,1.0339094662876407,0.4610268131610148,metl_designs,5.0,False,exp_6
19,6,9983,4251.0,0.282,35400.70922,15074.46809,35312.90922,14075.46809,0.398592707,0.4161868358911633,1.0077605278468187,0.4194248254684844,metl_designs,5.0,False,exp_6
20,7,6544,1188.0,0.3191,20507.67784,3722.970856,20419.87784,2723.970856,0.133398,0.13928627031856206,0.5827428927592037,0.08116966295925425,metl_designs,5.0,False,exp_7
21,7,6582,1181.0,0.3166,20789.63992,3730.259002,20701.83992,2731.259002,0.131933152,0.13775676302082443,0.5907895323833514,0.08138683721907232,metl_designs,5.0,False,exp_7
22,7,5414,1093.0,0.2725,19867.88991,4011.009174,19780.08991,3012.009174,0.152274797,0.1589963008264454,0.5644846116861263,0.08975271117355954,metl_designs,5.0,False,exp_7
23,8,21033,4712.0,0.7271,28927.24522,6480.539128,28839.44522,5481.539128,0.190070894,0.19846074095094943,0.8230206793966496,0.1633404713334879,metl_designs,5.0,False,exp_8
24,8,11899,3291.0,0.4039,29460.26244,8148.05645,29372.46244,7149.05645,0.24339316,0.2541366847887451,0.8382319357570973,0.21302962961039207,metl_designs,5.0,False,exp_8
25,8,11682,2972.0,0.4025,29023.60248,7383.850932,28935.80248,6384.850932,0.220655741,0.23039562203532749,0.8257705248595227,0.19025761492784501,metl_designs,5.0,False,exp_8
26,9,1805,1207.0,0.201,8980.099502,6004.975124,8892.299502,5005.975124,0.562956199,0.5878054342000946,0.25376862563428076,0.14916947907224268,metl_designs,5.0,False,exp_9
27,9,1849,1258.0,0.2045,9041.564792,6151.589242,8953.764792,5152.589242,0.575466227,0.6008676625820852,0.25552272334140413,0.15353832851015617,metl_designs,5.0,False,exp_9
28,9,1812,1299.0,0.2015,8992.555831,6446.650124,8904.755831,5447.650124,0.611768613,0.6387724583781599,0.25412410460685336,0.1623306370958543,metl_designs,5.0,False,exp_9
29,10,13081,11602.0,0.3136,41712.37245,36996.17347,41624.57245,35997.17347,0.864805843,0.9029789083882062,1.1878829026030084,1.0726540746975264,metl_designs,10.0,True,exp_10
30,10,13807,12307.0,0.3276,42145.90965,37567.15507,42058.10965,36568.15507,0.869467396,0.9078462252240082,1.2002551961116323,1.0896683477855993,metl_designs,10.0,True,exp_10
31,10,12200,11569.0,0.2799,43586.99536,41332.61879,43499.19536,40333.61879,0.927226779,0.9681551431535974,1.2413809296708371,1.2018727131019438,metl_designs,10.0,True,exp_10
32,11,19067,14490.0,0.3697,51574.24939,39193.94103,51486.44939,38194.94103,0.741844534,0.7745900110726676,1.4693213490560693,1.1381437812834263,metl_designs,10.0,True,exp_11
33,11,20300,15549.0,0.4024,50447.3161,38640.65606,50359.5161,37641.65606,0.747458653,0.7804519407615278,1.437160903704392,1.1216568374395157,metl_designs,10.0,True,exp_11
34,11,17635,13412.0,0.3452,51086.32677,38852.83893,50998.52677,37853.83893,0.742253577,0.7750171094839624,1.455397003315642,1.127979523310288,metl_designs,10.0,True,exp_11
35,12,18960,15449.0,0.4073,46550.45421,37930.27253,46462.65421,36931.27253,0.794859294,0.8299448754052189,1.3259521791343876,1.10048862575513,metl_designs,10.0,True,exp_12
36,12,19626,16187.0,0.4267,45994.84415,37935.31755,45907.04415,36936.31755,0.804589323,0.8401043939100049,1.310096167842475,1.1006389587045888,metl_designs,10.0,True,exp_12
37,12,17178,14274.0,0.3708,46326.86084,38495.14563,46239.06084,37496.14563,0.810919274,0.8467137528665803,1.3195712669537896,1.1173208760124171,metl_designs,10.0,True,exp_12
38,13,20579,15763.0,0.4201,48985.95572,37522.01857,48898.15572,36523.01857,0.746920166,0.7798896846119225,1.3954565711967453,1.0883233574439843,metl_designs,10.0,True,exp_13
39,13,22738,17624.0,0.4627,49141.99265,38089.47482,49054.19265,37090.47482,0.756112226,0.7894874878319442,1.3999095563065456,1.1052325811440717,metl_designs,10.0,True,exp_13
40,13,41313,30658.0,0.8513,48529.30812,36013.15635,48441.50812,35014.15635,0.722813094,0.754718511527011,1.3824247526187576,1.0433618492914345,metl_designs,10.0,True,exp_13
41,14,30112,20342.0,0.6768,44491.72577,30056.14657,44403.92577,29057.14657,0.654382379,0.6832672223953712,1.2672001446740657,0.8658531674263077,metl_designs,10.0,True,exp_14
42,14,22945,15678.0,0.5074,45220.73315,30898.69925,45132.93315,29899.69925,0.662480747,0.6917230573733109,1.2880045722417874,0.8909597932590976,metl_designs,10.0,True,exp_14
43,14,27006,18067.0,0.6031,44778.64367,29956.8894,44690.84367,28957.8894,0.647960231,0.6765615968061284,1.2753882135910537,0.8628954738748355,metl_designs,10.0,True,exp_14
44,15,8537,2488.0,0.3265,26147.01378,7620.214395,26059.21378,6621.214395,0.254083429,0.2652988288817012,0.7436783775190156,0.19730084102746823,metl_designs,10.0,False,exp_15
45,15,9000,2523.0,0.3419,26323.4864,7379.350687,26235.6864,6380.350687,0.243193587,0.25392830251295173,0.7487145567693217,0.190123515339709,metl_designs,10.0,False,exp_15
46,15,8314,2532.0,0.3161,26301.80323,8010.123379,26214.00323,7011.123379,0.26745718,0.27926290553171945,0.7480957620189811,0.20891946049483642,metl_designs,10.0,False,exp_15
47,16,9658,504.0,0.4667,20694.23613,1079.922863,20606.43613,80.92286265,0.003927067,0.004100410168976331,0.5880668970669007,0.002411362615180096,metl_designs,10.0,False,exp_16
48,16,10328,533.0,0.5028,20540.97056,1060.063644,20453.17056,61.0636436,0.002985534,0.0031173173193695396,0.5836930010856411,0.00181959192373827,metl_designs,10.0,False,exp_16
49,16,10510,504.0,0.5068,20737.96369,994.4751381,20650.16369,-4.524861878,-0.00021912,-0.00022879209247667369,0.5893147950713534,-0.00013483312891011278,metl_designs,10.0,False,exp_16
50,17,9841,512.0,0.4147,23730.40752,1234.627442,23642.60752,235.6274415,0.009966221,0.010406136165913507,0.674713218488838,0.007021293920373132,metl_designs,10.0,False,exp_17
51,17,10829,545.0,0.4751,22793.09619,1147.126921,22705.29619,148.1269206,0.006523893,0.0068118616765421875,0.6479642085221762,0.004413928362636717,metl_designs,10.0,False,exp_17
52,17,14364,585.0,0.6415,22391.27046,911.9251754,22303.47046,-87.07482463,-0.003904093,-0.004076422082391084,0.6364968975950468,-0.0025946805384812347,metl_designs,10.0,False,exp_17
53,18,9406,4622.0,0.3577,26295.77859,12921.44255,26207.97859,11922.44255,0.454916525,0.4749968220927667,0.7479238307190517,0.3552683543962894,metl_designs,10.0,False,exp_18
54,18,9552,4700.0,0.3641,26234.55095,12908.54161,26146.75095,11909.54161,0.455488394,0.4755939337445217,0.7461765150725043,0.35488392849490685,metl_designs,10.0,False,exp_18
55,18,9983,5005.0,0.3729,26771.25235,13421.82891,26683.45235,12422.82891,0.465563029,0.48611326937152394,0.7614929106373817,0.3701790103238828,metl_designs,10.0,False,exp_18
56,19,6640,576.0,0.4063,16342.60399,1417.671671,16254.80399,418.6716712,0.025756796,0.02689371692376241,0.46387992977172704,0.012475698250235506,metl_designs,10.0,False,exp_19
57,19,6084,489.0,0.3793,16040.07382,1289.216979,15952.27382,290.2169786,0.018192828,0.01899587069271732,0.45524631757315703,0.008647968566230175,metl_designs,10.0,False,exp_19
58,19,5978,523.0,0.3718,16078.53685,1406.670253,15990.73685,407.6702528,0.025494151,0.026619478610835537,0.4563439763124555,0.0121478748369876,metl_designs,10.0,False,exp_19
59,20,15942,12868.0,0.3861,41289.82129,33328.15333,41202.02129,32329.15333,0.784649692,0.8192846152512666,1.1758241289293088,0.9633533610589232,metl_designs,3.0,True,exp_20
60,20,18451,14710.0,0.4462,41351.41192,32967.27925,41263.61192,31968.27925,0.774732937,0.8089301285452218,1.1775818035919239,0.9525999319685163,metl_designs,3.0,True,exp_20
61,20,18853,14963.0,0.4572,41235.78303,32727.47157,41147.98303,31728.47157,0.771082061,0.8051181006179999,1.1742819839567082,0.9454540741052556,metl_designs,3.0,True,exp_20
62,21,10388,10303.0,0.2964,35047.23347,34760.45884,34959.43347,33761.45884,0.965732436,1.0083604636958532,0.9976730296409416,1.0060336104622167,metl_designs,0.0,True,exp_21
63,21,10380,10128.0,0.2948,35210.31208,34355.49525,35122.51208,33356.49525,0.949718379,0.9916395363041467,1.0023269703590585,0.9939663895377834,metl_designs,0.0,True,exp_21
64,_07,30,335.0,0.3325,90.22556391,1007.518797,2.42556391,8.518796992,3.512089275,3.667115070245226,6.922079262966467e-05,0.0002538455501959118,metl_designs,,,exp__07
65,_07,28,336.0,0.339,82.59587021,991.1504425,-5.204129794,-7.849557522,1.508332389,1.574911114593146,-0.00014851556283599778,-0.00023390336098368995,metl_designs,,,exp__07
66,_07,31,342.0,0.3423,90.5638329,999.1235758,2.763832895,0.123575811,0.044711752,0.04668535641830093,7.887431986396958e-05,3.6823473741256882e-06,metl_designs,,,exp__07
67,21_uninduced,10904,11291.0,0.4027,27077.22871,28038.24187,26989.42871,27039.24187,1.001845655,1.0460677425434177,0.7702248702768782,0.8057230658056849,metl_designs,,,exp_21_uninduced
68,21_uninduced,11175,11796.0,0.4132,27045.01452,28547.91868,26957.21452,27548.91868,1.021949752,1.0670592468332318,0.7693055410617093,0.8209105612205946,metl_designs,,,exp_21_uninduced
69,21_uninduced,11162,11451.0,0.4109,27164.76028,27868.09443,27076.96028,26869.09443,0.992323147,1.0361249051440666,0.772722848017452,0.8006529637053781,metl_designs,,,exp_21_uninduced
